선수명,팀,포지션,생년월일,키cm,몸무게kg
박하늘,롯데,외야수,2002-04-25,185,90
배인혁,롯데,내야수,2004-01-29,170,70
비슬리,롯데,투수,1995-11-20,188,106
서하은,롯데,포수,2004-10-15,173,90
석상호,롯데,투수,2000-04-14,182,102
소한빈,롯데,외야수,2005-08-23,179,91
손성빈,롯데,포수,2002-01-14,186,92
손준이,롯데,투수,2004-01-07,185,98
손호영,롯데,외야수,1994-08-23,182,88
송재영,롯데,투수,2002-06-20,181,84
신동건,롯데,투수,2007-10-05,193,85
신윤후,롯데,외야수,1996-01-05,177,77
안우진,롯데,내야수,2005-07-22,181,83
엄장윤,롯데,외야수,2003-10-07,179,78
유강남,롯데,포수,1992-07-15,182,88
유제모,롯데,외야수,2003-02-26,178,78
윤동희,롯데,외야수,2003-09-18,187,85
윤성빈,롯데,투수,1999-02-26,197,90
윤수녕,롯데,외야수,2000-03-01,173,73
이건희,롯데,포수,2003-03-31,177,90
이로화,롯데,내야수,2006-07-31,177,80
이민석,롯데,투수,2003-12-10,189,95
이병준,롯데,투수,2002-05-28,185,95
이서준,롯데,내야수,2007-10-10,183,83
이선우,롯데,외야수,2005-02-22,180,74
이승헌,롯데,투수,1998-12-19,196,97
이영재,롯데,투수,2006-10-20,180,71
이이무라,롯데,투수,1998-04-28,183,85
이인한,롯데,외야수,1998-12-24,183,95
이정민,롯데,내야수,2003-11-20,176,80
이준서,롯데,투수,2006-08-05,177,77
이지훈,롯데,내야수,2003-01-13,171,66
이진하,롯데,투수,2004-06-02,191,96
이태연,롯데,투수,2004-02-21,180,89
이호준,롯데,내야수,2004-03-20,172,72
장두성,롯데,외야수,1999-09-16,176,75
장세진,롯데,투수,2004-12-30,179,80
전민재,롯데,내야수,1999-06-30,181,73
전준우,롯데,외야수,1986-02-25,184,98
전하원,롯데,투수,2005-10-30,184,86
정대선,롯데,내야수,2004-11-16,185,88
정문혁,롯데,포수,2007-02-24,185,95
정보근,롯데,포수,1999-08-31,175,94
정선우,롯데,투수,2002-06-12,173,80
정성종,롯데,투수,1995-11-16,181,93
정우준,롯데,투수,2000-03-17,180,82
정철원,롯데,투수,1999-03-27,192,95
정현수,롯데,투수,2001-05-10,180,84
조경민,롯데,투수,2004-09-17,179,78
조민영,롯데,외야수,2005-03-24,186,92
조세진,롯데,외야수,2003-11-21,181,86
최이준,롯데,투수,1999-04-10,182,90
최준용,롯데,투수,2001-10-10,185,85
최충연,롯데,투수,1997-03-05,190,85
최항,롯데,내야수,1994-01-03,183,88
쿄야마,롯데,투수,1998-07-04,183,80
강건우,한화,투수,2007-07-19,188,89
강백호,한화,내야수,1999-07-29,184,98
강재민,한화,투수,1997-04-03,180,89
권광민,한화,외야수,1997-12-12,189,102
권민규,한화,투수,2006-05-13,188,90
권현,한화,외야수,2005-02-23,182,88
권현규,한화,내야수,2007-03-23,177,70
김건,한화,내야수,2000-02-23,183,79
김겸재,한화,투수,1998-12-10,187,88
김관우,한화,투수,2003-09-07,182,97
김규연,한화,투수,2002-08-23,183,91
김기중,한화,투수,2002-11-16,186,96
김도빈,한화,투수,2001-01-05,190,95
김민우,한화,투수,1995-07-25,186,123
김범준,한화,투수,2000-09-30,175,79
김서현,한화,투수,2004-05-31,188,86
김승일,한화,투수,2001-07-07,183,85
김예준,한화,내야수,2004-10-28,182,78
김종수,한화,투수,1994-06-03,180,88
김태연,한화,외야수,1997-06-10,178,96
남지민,한화,투수,2001-02-12,181,100
노석진,한화,내야수,2003-01-31,187,89
노시환,한화,내야수,2000-12-03,185,105
류현진,한화,투수,1987-03-25,190,113
문동주,한화,투수,2003-12-23,188,97
문현빈,한화,외야수,2004-04-20,174,82
박부성,한화,투수,2000-01-17,185,85
박상목,한화,외야수,2001-03-23,170,73
박상언,한화,포수,1997-03-03,185,90
박상원,한화,투수,1994-09-09,187,98
박재규,한화,투수,2003-07-03,181,83
박정현,한화,내야수,2001-07-27,183,80
박주진,한화,외야수,2007-03-17,180,88
박준영,한화,투수,2003-03-02,190,103
배민서,한화,투수,1999-11-18,184,90
배승수,한화,내야수,2006-05-15,184,73
승지환,한화,투수,2005-07-25,187,89
심우준,한화,내야수,1995-04-28,183,75
양경모,한화,투수,2003-03-24,184,95
양선률,한화,투수,1997-04-15,186,91
양수호,한화,투수,2006-09-09,187,82
엄상백,한화,투수,1996-10-04,187,72
엄요셉,한화,투수,2006-05-29,190,94
에르난데스,한화,투수,1999-04-13,190,88
여현승,한화,투수,2006-02-20,185,95
오재원,한화,외야수,2007-01-21,176,75
왕옌청,한화,투수,2001-02-14,180,82
원종혁,한화,투수,2005-08-27,184,92
유로결,한화,외야수,2000-05-30,186,83
유민,한화,외야수,2003-01-20,187,92
윤산흠,한화,투수,1999-05-15,178,74
이교훈,한화,투수,2000-05-29,181,83
이기창,한화,투수,2005-04-21,184,88
이도윤,한화,내야수,1996-10-07,175,79
이도훈,한화,외야수,2003-08-27,172,74
이동영,한화,투수,2006-04-09,185,85
이민우,한화,투수,1993-02-09,185,104
이민준,한화,내야수,2004-02-02,185,74
이상규,한화,투수,1996-10-20,185,77
이승현,한화,포수,2005-06-08,180,92
이원석,한화,외야수,1999-03-31,177,80
이재원,한화,포수,1988-02-24,185,98
이재환,한화,외야수,2006-05-03,175,75
이지성,한화,내야수,2005-11-29,180,78
이진영,한화,외야수,1997-07-21,183,89
이형범,한화,투수,1994-02-27,181,80
임종찬,한화,외야수,2001-09-28,184,85
장규현,한화,포수,2002-06-28,183,96
장유호,한화,투수,2000-05-25,179,80
정민규,한화,내야수,2003-01-10,183,101
정우성,한화,포수,2002-04-11,183,88
정우주,한화,투수,2006-11-07,184,88
정은원,한화,내야수,2000-01-17,177,82
정이황,한화,투수,2000-03-07,190,89
조동욱,한화,투수,2004-11-02,190,82
주현상,한화,투수,1992-08-10,177,92
짐머맨,한화,투수,1995-02-09,190,107
채은성,한화,내야수,1990-02-06,186,92
최원준,한화,내야수,2004-05-01,188,84
최유빈,한화,내야수,2002-05-27,173,73
최윤호,한화,외야수,2000-03-06,175,76
최인호,한화,외야수,2000-01-30,178,82
최재훈,한화,포수,1989-08-27,178,94
쿠싱,한화,투수,1996-12-03,190,92
페라자,한화,외야수,1998-11-10,175,88
하동준,한화,투수,2007-06-11,189,80
한경빈,한화,내야수,1998-12-11,178,69
한서구,한화,투수,2003-12-04,191,98
한지윤,한화,외야수,2006-04-10,188,98
허관회,한화,포수,1999-02-12,176,93
허인서,한화,포수,2003-07-11,182,93
화이트,한화,투수,1999-08-09,190,90
황영묵,한화,내야수,1999-10-16,177,80
황준서,한화,투수,2005-08-22,185,78
황희성,한화,투수,2007-02-05,178,74
고명준,SSG,내야수,2002-07-08,185,94
긴지로,SSG,투수,1999-09-30,180,87
길지석,SSG,투수,2001-11-02,190,110
김건우,SSG,투수,2002-07-12,186,88
김광현,SSG,투수,1988-07-22,188,88
김도현,SSG,투수,2003-05-24,179,89
김민,SSG,투수,1999-04-14,185,88
김민범,SSG,포수,2003-11-04,184,90
김민식,SSG,포수,1989-06-28,180,80
김민준,SSG,내야수,2004-03-20,181,78
김성민,SSG,투수,2001-04-30,185,97
김성욱,SSG,외야수,1993-05-01,181,83
김성현,SSG,내야수,1987-03-09,172,72
김수윤,SSG,내야수,1998-07-16,180,83
김예준,SSG,내야수,2004-10-28,182,78
김요셉,SSG,내야수,2007-05-03,188,81
김재환,SSG,외야수,1988-09-22,184,98
김재훈,SSG,투수,2007-03-12,200,110
김정민,SSG,외야수,2004-03-07,180,75
김준모,SSG,투수,2003-08-11,183,86
김준영,SSG,투수,2003-11-18,178,83
김창평,SSG,외야수,2000-06-14,185,85
김태윤,SSG,내야수,2003-02-28,170,65
김태현,SSG,투수,2007-01-03,184,92
김택형,SSG,투수,1996-10-10,185,90
김현재,SSG,투수,2006-07-03,174,78
노경은,SSG,투수,1984-03-11,187,100
류현곤,SSG,투수,2004-11-10,178,78
류효승,SSG,외야수,1996-07-16,190,100
마드리스,SSG,외야수,1996-02-29,185,94
문상준,SSG,내야수,2001-03-14,183,80
문승원,SSG,투수,1989-11-28,180,88
박기호,SSG,투수,2005-07-26,184,80
박명현,SSG,내야수,2001-06-16,185,80
박상후,SSG,투수,2003-08-05,187,87
박성한,SSG,내야수,1998-03-30,180,77
박세직,SSG,외야수,2004-07-30,182,77
박시후,SSG,투수,2001-05-10,182,88
박정빈,SSG,외야수,2002-06-14,182,80
박종훈,SSG,투수,1991-08-13,186,90
백승건,SSG,투수,2000-10-29,183,85
베니지아노,SSG,투수,1997-09-01,198,102
변건우,SSG,투수,2005-07-15,181,80
서진용,SSG,투수,1992-10-02,184,88
석정우,SSG,내야수,1999-01-20,180,82
신범수,SSG,포수,1998-01-25,177,83
신상연,SSG,투수,2007-02-03,179,81
신지환,SSG,투수,2006-04-17,180,81
아빌라,SSG,투수,1997-01-14,180,95
안상현,SSG,내야수,1997-01-27,178,74
안재연,SSG,내야수,2003-04-10,177,83
에레디아,SSG,외야수,1991-01-31,178,88
오시후,SSG,외야수,2007-10-20,183,90
오태곤,SSG,외야수,1991-11-18,186,88
윤성보,SSG,투수,2002-09-12,180,85
윤태현,SSG,투수,2003-10-10,189,93
이건욱,SSG,투수,1995-02-13,182,85
이기순,SSG,투수,2003-05-14,174,74
이도우,SSG,투수,2006-05-13,191,96
이로운,SSG,투수,2004-09-11,185,105
이명원,SSG,포수,2000-01-25,175,89
이승민,SSG,외야수,2005-01-06,187,90
이승빈,SSG,외야수,2006-11-24,180,79
이원준,SSG,외야수,2006-03-15,181,95
이주형,SSG,투수,2002-12-20,195,107
이준기,SSG,투수,2002-05-19,180,86
이지영,SSG,포수,1986-02-27,177,88
임근우,SSG,외야수,1999-07-22,180,88
임태윤,SSG,내야수,2002-08-12,180,80
장재율,SSG,외야수,2007-09-12,187,99
장지훈,SSG,투수,1998-12-06,177,78
장현진,SSG,내야수,2004-05-18,180,86
전영준,SSG,투수,2002-04-16,190,100
전의산,SSG,내야수,2000-11-25,188,108
전준호,SSG,포수,1998-07-01,181,80
정동윤,SSG,투수,1997-10-22,193,103
정준재,SSG,내야수,2003-01-03,165,68
조병현,SSG,투수,2002-05-08,182,90
조요한,SSG,투수,2000-01-06,191,101
조재우,SSG,투수,2004-03-09,190,100
조형우,SSG,포수,2002-04-04,187,95
채현우,SSG,외야수,1995-11-21,182,80
천범석,SSG,투수,2006-03-06,183,86
최민준,SSG,투수,1999-06-11,178,83
최수호,SSG,투수,2000-07-19,183,78
최용준,SSG,투수,2001-12-19,192,105
최윤석,SSG,내야수,2006-04-25,187,93
최정,SSG,내야수,1987-02-28,180,90
최준우,SSG,외야수,1999-03-25,175,78
최지훈,SSG,외야수,1997-07-23,178,82
타케다,SSG,투수,1993-04-03,187,92
한두솔,SSG,투수,1997-01-15,177,86
한유섬,SSG,외야수,1989-08-09,190,105
한지헌,SSG,투수,2004-08-14,183,86
해치,SSG,투수,1994-09-29,185,88
현원회,SSG,내야수,2001-07-08,180,95
홍대인,SSG,내야수,2001-11-23,174,76
화이트,SSG,투수,1994-12-28,190,95
권혁빈,키움,내야수,2005-11-04,185,75
김건희,키움,포수,2004-11-07,186,96
김동규,키움,투수,2004-07-09,194,100
김동욱,키움,투수,1997-05-16,178,83
김동헌,키움,포수,2004-07-15,182,91
김동혁,고양,투수,2001-12-27,184,80
김리안,고양,포수,2003-11-25,183,87
김병휘,키움,내야수,2001-02-16,177,79
김서준,키움,투수,2006-12-22,187,83
김선기,키움,투수,1991-09-01,187,98
김성민,키움,투수,1994-04-26,181,90
김성진,키움,투수,1997-11-14,183,77
김시앙,고양,포수,2001-10-31,177,84
김연주,키움,투수,2004-02-27,175,75
김웅빈,키움,내야수,1996-02-09,182,97
김유빈,고양,투수,2007-03-09,189,75
김윤하,키움,투수,2005-03-07,185,90
김인범,고양,투수,2000-01-12,187,91
김재웅,키움,투수,1998-10-22,171,86
김재현,키움,포수,1993-03-18,178,90
김주영,고양,포수,2007-02-05,181,85
김준형,고양,투수,2002-07-12,182,91
김지석,키움,내야수,2007-02-19,185,83
김지성,고양,포수,2004-05-27,174,91
김태언,고양,투수,2006-07-25,183,84
김태진,키움,내야수,1995-10-07,169,73
데이비슨,키움,내야수,1991-03-26,190,104
로젠버그,키움,투수,1995-07-09,186,90
박성빈,키움,포수,2004-04-21,177,94
박수종,키움,외야수,1999-02-25,178,82
박윤성,키움,투수,2004-02-08,183,96
박정훈,키움,투수,2006-03-23,192,103
박주성,키움,투수,2000-11-09,181,90
박주홍,키움,외야수,2001-04-16,187,87
박준건,고양,투수,2007-04-06,187,92
박준현,키움,투수,2007-08-29,188,95
박준형,고양,포수,1999-03-07,177,89
박지성,키움,투수,2007-03-16,190,93
박진형,키움,투수,1994-06-10,181,77
박찬혁,키움,외야수,2003-04-25,181,87
박채울,키움,외야수,2004-11-20,185,86
박한결,키움,내야수,2007-12-05,180,79
배동현,키움,투수,1998-03-16,183,85
백진수,고양,투수,2003-02-15,191,97
브룩스,키움,외야수,1995-07-03,180,88
서건창,키움,내야수,1989-08-22,176,84
서유신,고양,내야수,2000-08-17,176,76
손현기,고양,투수,2005-10-22,188,88
손힘찬,고양,투수,2002-07-17,191,88
송지후,키움,내야수,2005-01-08,175,74
심휘윤,고양,외야수,2005-05-28,183,84
안우진,키움,투수,1999-08-30,192,90
안치홍,키움,내야수,1990-07-02,178,97
알칸타라,키움,투수,1992-12-04,193,100
양지율,고양,투수,1998-12-16,185,103
양현종,키움,내야수,2006-08-15,177,84
어준서,키움,내야수,2006-11-27,183,87
여동욱,키움,내야수,2005-11-10,180,90
염승원,키움,내야수,2006-03-20,180,78
오석주,키움,투수,1998-04-14,180,74
오선진,키움,내야수,1989-07-07,178,80
오혜성,고양,투수,2006-02-27,181,85
와일스,키움,투수,1998-07-02,193,103
원성준,키움,외야수,2000-03-31,181,80
원종현,키움,투수,1987-07-31,182,88
유정택,고양,내야수,2003-11-20,170,70
유토,키움,투수,1999-11-04,185,87
윤석원,키움,투수,2003-07-04,185,81
윤현,고양,투수,2006-10-20,187,90
이강준,고양,투수,2001-12-14,180,80
이명종,고양,투수,2002-12-05,180,84
이승재,고양,투수,2005-04-07,183,82
이승호,고양,투수,1999-02-08,187,95
이재상,고양,내야수,2005-04-17,183,85
이주형,키움,내야수,2002-07-05,183,105
이준우,키움,투수,2001-03-02,183,93
이태양,키움,투수,2007-03-03,180,80
이태준,고양,투수,2005-11-27,183,80
이형종,키움,외야수,1989-06-07,183,87
임병욱,키움,외야수,1995-09-30,187,94
임지열,키움,외야수,1995-08-22,180,94
임진묵,키움,투수,2006-04-23,181,85
전준표,키움,투수,2005-05-07,186,90
전태현,키움,내야수,2006-03-02,180,82
정다훈,키움,투수,2006-07-06,183,85
정동준,고양,투수,2002-01-14,183,90
정세영,키움,투수,2006-09-23,177,82
정현우,키움,투수,2006-04-13,181,91
조영건,키움,투수,1999-02-04,180,85
주성원,키움,외야수,2000-08-30,182,95
주승빈,고양,투수,2004-03-06,181,84
최재영,키움,내야수,2007-01-08,183,85
최주환,키움,내야수,1988-02-28,177,73
최현우,키움,투수,2007-07-19,190,90
추재현,키움,외야수,1999-02-22,178,85
하영민,키움,투수,1995-05-07,183,74
한민우,고양,투수,1999-04-27,178,82
히우라,키움,내야수,1996-08-02,178,94
