name,long_name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
Y. En-Nesyri,Youssef En-Nesyri,"ST, LW",Sevilla FC,82,78.0,83.0,58.0,78.0,35.0,76.0,44000000.0,24,188
F. Neuhaus,Florian Christian Neuhaus,CM,Borussia Mönchengladbach,82,64.0,72.0,79.0,82.0,66.0,67.0,46000000.0,24,185
A. Davies,Alphonso Boyle Davies,"LB, LM",FC Bayern München,82,96.0,67.0,71.0,82.0,75.0,75.0,57000000.0,20,183
D. Rice,Declan Rice,"CDM, CM",West Ham United,82,66.0,53.0,71.0,74.0,81.0,79.0,43000000.0,22,185
A. Isak,Alexander Isak,ST,Real Sociedad,82,84.0,82.0,68.0,79.0,29.0,69.0,45000000.0,21,192
Raphinha,Raphael Dias Belloli,"RM, RW",Leeds United,82,91.0,76.0,76.0,84.0,49.0,72.0,46000000.0,24,176
D. Dumfries,Denzel Justus Morris Dumfries,RB,Inter,82,80.0,61.0,66.0,72.0,78.0,89.0,35000000.0,25,188
C. Romero,Cristian Gabriel Romero,CB,Tottenham Hotspur,82,76.0,46.0,52.0,61.0,83.0,84.0,41500000.0,23,185
Richarlison,Richarlison de Andrade,"ST, LW, LM",Everton,82,83.0,78.0,73.0,83.0,53.0,80.0,46500000.0,24,181
Anderson Talisca,Anderson Souza Conceição,"CF, ST, CAM",Al Nassr,82,80.0,83.0,81.0,83.0,52.0,75.0,35500000.0,27,190
M. Ødegaard,Martin Ødegaard,"CAM, CM",Arsenal,82,77.0,74.0,83.0,84.0,58.0,62.0,49000000.0,22,178
N. Süle,Niklas Süle,"CB, RB",FC Bayern München,82,65.0,42.0,59.0,51.0,83.0,81.0,40500000.0,25,195
Mário Fernandes,Mário Figueira Fernandes,RB,PFC CSKA Moscow,82,82.0,61.0,74.0,78.0,79.0,79.0,26500000.0,30,187
A. Lacazette,Alexandre Lacazette,ST,Arsenal,82,75.0,82.0,74.0,82.0,44.0,72.0,30000000.0,30,175
J. Corona,Jesús Manuel Corona Ruíz,"RM, RB, RW",FC Porto,82,83.0,67.0,79.0,85.0,74.0,60.0,30500000.0,28,173
M. Götze,Mario Götze,"CAM, CM",PSV,82,68.0,75.0,83.0,84.0,55.0,69.0,30000000.0,29,177
D. Blind,Daley Blind,"CB, CDM, LB",Ajax,82,45.0,64.0,82.0,79.0,83.0,72.0,21000000.0,31,180
C. Eriksen,Christian Dannemann Eriksen,"CM, CAM",Inter,82,62.0,78.0,88.0,81.0,53.0,52.0,29500000.0,29,181
Coutinho,Philippe Coutinho Correia,"CAM, LW, CM",FC Barcelona,82,69.0,79.0,80.0,88.0,52.0,59.0,30000000.0,29,172
Oscar,Oscar dos Santos Emboaba Júnior,"CAM, CM, LW",Shanghai Port FC,82,78.0,79.0,82.0,82.0,59.0,67.0,30000000.0,29,179
Yuri Berchiche,Yuri Berchiche Izeta,LB,Athletic Club de Bilbao,82,83.0,68.0,76.0,76.0,79.0,82.0,22000000.0,31,181
M. Pjanić,Miralem Pjanić,CM,Beşiktaş JK,82,65.0,68.0,83.0,81.0,75.0,67.0,25000000.0,31,178
É. Banega,Éver Maximiliano David Banega,"CDM, CM",Al Shabab,82,62.0,75.0,84.0,82.0,76.0,71.0,15000000.0,33,174
G. Bale,Gareth Frank Bale,"RM, RW",Real Madrid CF,82,82.0,84.0,82.0,80.0,55.0,70.0,25000000.0,31,185
I. Rakitić,Ivan Rakitić,CM,Sevilla FC,82,57.0,79.0,85.0,78.0,75.0,69.0,18500000.0,33,184
Raúl Albiol,Raúl Albiol Tortajada,CB,Villarreal CF,82,40.0,41.0,62.0,63.0,86.0,73.0,8000000.0,35,190
Pepe,Kléper Laveran de Lima Ferreira,CB,FC Porto,82,80.0,51.0,60.0,61.0,82.0,87.0,5500000.0,38,188
N. Tagliafico,Nicolás Alejandro Tagliafico,LB,Ajax,82,80.0,55.0,73.0,76.0,81.0,81.0,27500000.0,28,172
I. Gueye,Idrissa Gana Gueye,"CDM, CM",Paris Saint-Germain,82,69.0,62.0,71.0,78.0,83.0,77.0,21500000.0,31,174
L. Stindl,Lars Edi Stindl,"CAM, ST",Borussia Mönchengladbach,82,61.0,84.0,81.0,81.0,60.0,73.0,24000000.0,32,181
Isco,Francisco Román Alarcón Suárez,"CAM, CM, LW",Real Madrid CF,82,66.0,75.0,80.0,88.0,59.0,59.0,30000000.0,29,176
Portu,Cristian Portugués Manzanera,"RW, RM, LW",Real Sociedad,82,90.0,78.0,77.0,79.0,59.0,79.0,30000000.0,29,167
D. Berardi,Domenico Berardi,"RW, RM",U.S. Sassuolo Calcio,82,79.0,80.0,81.0,85.0,36.0,69.0,33500000.0,26,183
W. Zaha,Wilfried Zaha,"CF, LM, ST",Crystal Palace,82,89.0,77.0,73.0,87.0,34.0,75.0,31000000.0,28,180
A. Romagnoli,Alessio Romagnoli,CB,AC Milan,82,68.0,40.0,56.0,68.0,85.0,78.0,31500000.0,26,185
Grimaldo,Alejandro Grimaldo García,"LB, LM, LWB",SL Benfica,82,87.0,65.0,81.0,83.0,74.0,71.0,37000000.0,25,171
M. de Roon,Marten Elco de Roon,"CDM, CM",Atalanta,82,66.0,68.0,71.0,73.0,82.0,83.0,25500000.0,30,185
E. Can,Emre Can,"CM, CB, CDM",Borussia Dortmund,82,78.0,78.0,78.0,80.0,84.0,87.0,35000000.0,27,186
H. Çalhanoğlu,Hakan Çalhanoğlu,"CAM, LM",Inter,82,67.0,78.0,84.0,85.0,59.0,57.0,35000000.0,27,178
Saúl,Saúl Ñíguez Esclápez,"CM, LM",Chelsea,82,71.0,78.0,78.0,79.0,78.0,79.0,39500000.0,26,184
T. Hazard,Thorgan Hazard,"LM, CF",Borussia Dortmund,82,80.0,76.0,80.0,85.0,52.0,66.0,30500000.0,28,175
Suso,Jesús Joaquín Fernández Sáez de la Torre,RW,Sevilla FC,82,76.0,76.0,82.0,85.0,32.0,55.0,32500000.0,27,176
J. Veretout,Jordan Veretout,"CDM, CM",Roma,82,77.0,75.0,77.0,79.0,77.0,81.0,29500000.0,28,177
Gabriel Paulista,Gabriel Armando de Abreu,CB,Valencia CF,82,67.0,49.0,71.0,65.0,84.0,83.0,25000000.0,30,185
Juan Bernat,Juan Bernat Velasco,LB,Paris Saint-Germain,82,82.0,65.0,78.0,82.0,76.0,68.0,27500000.0,28,170
Campaña,José Ángel Gómez Campaña,"CM, LM, RM",Levante Unión Deportiva,82,68.0,74.0,83.0,82.0,71.0,72.0,30500000.0,28,179
L. Muriel,Luis Fernando Muriel Fruto,ST,Atalanta,82,89.0,83.0,74.0,86.0,27.0,67.0,30000000.0,30,179
G. Lo Celso,Giovani Lo Celso,"CM, CAM",Tottenham Hotspur,81,75.0,76.0,82.0,83.0,69.0,73.0,35500000.0,25,177
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,"LM, ST, CF",Valencia CF,81,86.0,79.0,76.0,82.0,36.0,68.0,39000000.0,24,179
D. Calvert-Lewin,Dominic Calvert-Lewin,ST,Everton,81,83.0,77.0,64.0,77.0,39.0,82.0,37500000.0,24,187
H. Lozano,Hirving Rodrigo Lozano Bahena,"RW, LW",Napoli,81,93.0,76.0,72.0,82.0,41.0,62.0,31000000.0,25,175
K. Phillips,Kalvin Phillips,"CDM, CM, CB",Leeds United,81,67.0,65.0,76.0,75.0,78.0,82.0,32500000.0,25,178
N. Pépé,Nicolas Pépé,"RM, RW",Arsenal,81,88.0,79.0,75.0,83.0,36.0,65.0,30500000.0,26,183
K. Laimer,Konrad Laimer,"CDM, CM, RB",RB Leipzig,81,81.0,68.0,77.0,78.0,80.0,77.0,33500000.0,24,180
N. Mukiele,Nordi Mukiele Mulere,"RWB, CB, RM",RB Leipzig,81,80.0,49.0,69.0,73.0,82.0,80.0,34500000.0,23,187
H. Hateboer,Hans Hateboer,"RWB, RB, RM",Atalanta,81,84.0,64.0,72.0,77.0,77.0,79.0,25000000.0,27,185
D. van de Beek,Donny van de Beek,"CM, CAM, CDM",Manchester United,81,68.0,78.0,76.0,79.0,72.0,77.0,38500000.0,24,184
A. Martial,Anthony Martial,"ST, LM",Manchester United,81,87.0,80.0,73.0,85.0,35.0,68.0,34500000.0,25,184
D. Djené,Djené Dakonam Ortega,CB,Getafe CF,81,69.0,37.0,62.0,62.0,83.0,79.0,24000000.0,29,178
Morales,José Luis Morales Nogales,"ST, LM",Levante Unión Deportiva,81,86.0,82.0,75.0,85.0,52.0,68.0,16500000.0,33,180
M. Politano,Matteo Politano,"RM, RW",Napoli,81,83.0,77.0,78.0,84.0,42.0,55.0,27500000.0,27,171
Iñaki Williams,Iñaki Williams Arthuer,"ST, RW",Athletic Club de Bilbao,81,94.0,78.0,72.0,78.0,37.0,81.0,30000000.0,27,186
J. Correa,Carlos Joaquín Correa,"CF, ST, CAM",Inter,81,84.0,75.0,77.0,85.0,39.0,69.0,31000000.0,26,189
J. Brandt,Julian Brandt,"CAM, CM, CF",Borussia Dortmund,81,73.0,75.0,80.0,84.0,48.0,66.0,36000000.0,25,185
D. Machís,Darwin Daniel Machís Marcano,"LM, RM, ST",Granada CF,81,88.0,80.0,75.0,83.0,38.0,70.0,26000000.0,28,174
Otávio,Otávio Edmilson da Silva Monteiro,"LM, RM, CM",FC Porto,81,78.0,69.0,79.0,85.0,63.0,68.0,30500000.0,26,172
L. Pellegrini,Lorenzo Pellegrini,"CAM, CM, CDM",Roma,81,78.0,74.0,81.0,80.0,72.0,77.0,38000000.0,25,186
Yeray,Yeray Álvarez López,CB,Athletic Club de Bilbao,81,68.0,49.0,62.0,64.0,82.0,77.0,28000000.0,26,182
Reguilón,Sergio Reguilón Rodríguez,LB,Tottenham Hotspur,81,86.0,58.0,75.0,78.0,78.0,70.0,32500000.0,24,178
Juiano Mestres,Juan Everton Mestres de Mesquita,"CB, CDM",Clube Atlético Mineiro,81,71.0,61.0,57.0,63.0,82.0,80.0,25000000.0,25,181
Adryan Zonta,Adryan Juliano Zonta Torres,"LWB, LB",RB Bragantino,81,93.0,66.0,75.0,76.0,72.0,77.0,22500000.0,29,172
A. Rabiot,Adrien Rabiot,"CM, CDM",Juventus,81,76.0,74.0,76.0,80.0,76.0,79.0,30000000.0,26,192
Pedri,Pedro González López,CM,FC Barcelona,81,78.0,65.0,79.0,84.0,66.0,63.0,54000000.0,18,174
D. Kulusevski,Dejan Kulusevski,"RW, CF",Juventus,81,84.0,74.0,77.0,84.0,56.0,76.0,58000000.0,21,186
E. Tapsoba,Edmond Fayçal Tapsoba,CB,Bayer 04 Leverkusen,81,75.0,52.0,65.0,69.0,82.0,79.0,48500000.0,22,194
M. Diaby,Moussa Diaby,"LW, RW",Bayer 04 Leverkusen,81,94.0,67.0,73.0,85.0,41.0,53.0,52500000.0,21,170
Pedro Gonçalves,Pedro António Pereira Gonçalves,"RW, CM",Sporting CP,81,76.0,81.0,79.0,84.0,56.0,65.0,51500000.0,23,173
Cucurella,Marc Cucurella Saseta,"LM, LB",Brighton & Hove Albion,81,79.0,67.0,78.0,80.0,73.0,74.0,41500000.0,22,172
R. James,Reece James,"RWB, RB",Chelsea,81,80.0,58.0,77.0,77.0,76.0,80.0,37000000.0,21,178
M. Lazzari,Manuel Lazzari,RWB,Lazio,81,92.0,62.0,76.0,82.0,70.0,65.0,25000000.0,27,174
H. Aouar,Houssem Aouar,"CM, CAM",Olympique Lyonnais,81,75.0,75.0,81.0,85.0,66.0,71.0,38500000.0,23,175
H. Barnes,Harvey Lewis Barnes,"LM, LW",Leicester City,81,86.0,77.0,76.0,81.0,45.0,63.0,35000000.0,23,180
Carlos Soler,Carlos Soler Barragán,"CM, RM, LM",Valencia CF,81,78.0,77.0,82.0,79.0,71.0,71.0,51500000.0,24,180
Lucas Paquetá,Lucas Tolentino Coelho de Lima,"CM, CAM",Olympique Lyonnais,81,74.0,75.0,79.0,83.0,69.0,78.0,38500000.0,23,180
C. Nkunku,Christopher Nkunku,"CAM, CM, CF",RB Leipzig,81,79.0,74.0,81.0,85.0,69.0,65.0,39000000.0,23,179
R. Malinovskyi,Ruslan Malinovskyi,"CF, CM",Atalanta,81,74.0,80.0,83.0,81.0,64.0,79.0,26500000.0,28,181
Oswaldinato,Marvin Oswaldo Rangel Azevedo,ST,Flamengo,81,76.0,81.0,67.0,77.0,20.0,78.0,25500000.0,29,184
Welington Dano,Welington Kauê Dano Nascimento,"LB, LM",Clube Atlético Mineiro,81,79.0,54.0,76.0,79.0,75.0,74.0,27500000.0,21,178
Louri Beretta,Lourival Adnan Beretta Barbosa,"ST, CF",RB Bragantino,81,78.0,84.0,62.0,72.0,33.0,71.0,25500000.0,29,188
Rosberto Dourado,Rosberto J. Dourado Santos,"CDM, CM, CAM",Sport Club Corinthians Paulista,81,77.0,57.0,74.0,77.0,82.0,68.0,27000000.0,21,175
P. Zieliński,Piotr Sebastian Zieliński,"CM, CAM",Napoli,81,81.0,75.0,81.0,85.0,70.0,61.0,29500000.0,27,180
Renan Lodi,Renan Augusto Lodi dos Santos,LB,Atlético de Madrid,81,84.0,67.0,76.0,81.0,77.0,75.0,36500000.0,23,173
Fred,Frederico Rodrigues de Paula Santos,"CDM, CM",Manchester United,81,77.0,66.0,77.0,81.0,75.0,71.0,22500000.0,28,169
I. Perišić,Ivan Perišić,"LM, LW, LWB",Inter,81,81.0,79.0,76.0,79.0,64.0,74.0,20500000.0,32,186
D. Ings,Daniel William John Ings,ST,Aston Villa,81,79.0,84.0,70.0,80.0,45.0,70.0,26500000.0,28,178
K. Kampl,Kevin Kampl,"CM, CDM",RB Leipzig,81,70.0,67.0,81.0,85.0,63.0,62.0,24500000.0,30,178
A. Delort,Andy Delort,ST,OGC Nice,81,84.0,82.0,73.0,75.0,37.0,85.0,25500000.0,29,181
T. Delaney,Thomas Joseph Delaney,"CDM, CM",Sevilla FC,81,75.0,71.0,74.0,74.0,83.0,82.0,22000000.0,29,182
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,SL Benfica,81,63.0,57.0,62.0,59.0,83.0,81.0,12500000.0,33,183
B. André,Benjamin André,"CDM, CM",LOSC Lille,81,67.0,64.0,74.0,75.0,80.0,85.0,21500000.0,30,180
Marlos,Marlos Romero Bonfim,"CAM, RM",Shakhtar Donetsk,81,79.0,76.0,78.0,86.0,47.0,68.0,16000000.0,33,174
M. Arnautović,Marko Arnautović,ST,Bologna,81,79.0,81.0,79.0,78.0,44.0,82.0,21000000.0,32,192
M. Kruse,Max Bennet Kruse,"CF, CAM",1. FC Union Berlin,81,64.0,81.0,81.0,82.0,40.0,66.0,16500000.0,33,180
Lucas Leiva,Lucas Pezzini Leiva,CDM,Lazio,81,56.0,65.0,73.0,76.0,82.0,69.0,9000000.0,34,179
Jonathan Viera,Jonathan Viera Ramos,CAM,Unión Deportiva Las Palmas,81,82.0,75.0,79.0,82.0,63.0,69.0,21500000.0,31,171
J. Vertonghen,Jan Vertonghen,CB,SL Benfica,81,76.0,62.0,72.0,67.0,83.0,78.0,8500000.0,34,189
José Fonte,José Miguel da Rocha Fonte,CB,LOSC Lille,81,32.0,46.0,62.0,63.0,83.0,77.0,4600000.0,37,191
G. Higuaín,Gonzalo Gerardo Higuaín,ST,Inter Miami CF,81,58.0,84.0,71.0,78.0,29.0,71.0,16500000.0,33,186
H. Herrera,Héctor Miguel Herrera López,CM,Atlético de Madrid,81,70.0,75.0,76.0,76.0,78.0,84.0,21000000.0,31,185
A. Gignac,André-Pierre Christian Gignac,"ST, CF",Tigres U.A.N.L.,81,68.0,83.0,73.0,75.0,41.0,84.0,11000000.0,35,189
Nani,Luís Carlos Almeida da Cunha,"LW, LM",Orlando City Soccer Club,81,70.0,77.0,81.0,85.0,37.0,68.0,12000000.0,34,177
Joaquín,Joaquín Sánchez Rodríguez,"RM, LM",Real Betis Balompié,81,68.0,80.0,84.0,81.0,44.0,55.0,8500000.0,39,179
B. Yılmaz,Burak Yılmaz,ST,LOSC Lille,81,79.0,83.0,69.0,73.0,34.0,79.0,11000000.0,35,188
Lucas Vázquez,Lucas Vázquez Iglesias,"RW, RB, RM",Real Madrid CF,81,82.0,73.0,79.0,80.0,69.0,69.0,25000000.0,30,173
Pizzi,Luís Miguel Afonso Fernandes,"CM, RM",SL Benfica,81,75.0,77.0,81.0,82.0,64.0,66.0,21000000.0,31,177
A. Vidal,Arturo Erasmo Vidal Pardo,CM,Inter,81,65.0,79.0,79.0,79.0,82.0,82.0,12000000.0,34,180
J. Rodríguez,James David Rodríguez Rubio,"RW, CAM, CM",Everton,81,53.0,86.0,86.0,86.0,50.0,60.0,25500000.0,29,180
Iñigo Martínez,Íñigo Martínez Berridi,CB,Athletic Club de Bilbao,81,71.0,56.0,66.0,64.0,81.0,79.0,21000000.0,30,182
Danilo,Danilo Luiz da Silva,"RB, LB, CB",Juventus,81,73.0,67.0,73.0,74.0,82.0,79.0,22500000.0,29,184
A. Belotti,Andrea Belotti,ST,Torino F.C.,81,76.0,81.0,59.0,78.0,38.0,83.0,30000000.0,27,181
E. Forsberg,Emil Peter Forsberg,"CAM, CF",RB Leipzig,81,70.0,73.0,82.0,83.0,35.0,62.0,25500000.0,29,177
A. Januzaj,Adnan Januzaj,"RW, RM",Real Sociedad,81,79.0,75.0,80.0,83.0,30.0,58.0,28000000.0,26,186
L. Paredes,Leandro Daniel Paredes,"CDM, CM",Paris Saint-Germain,81,66.0,71.0,83.0,79.0,76.0,79.0,28000000.0,27,180
M. Arnold,Maximilian Arnold,"CDM, CM",VfL Wolfsburg,81,65.0,81.0,79.0,78.0,76.0,74.0,26500000.0,27,184
J. Ward-Prowse,James Ward-Prowse,CM,Southampton,81,59.0,74.0,86.0,78.0,67.0,73.0,33500000.0,26,173
A. Milik,Arkadiusz Krystian Milik,ST,Olympique de Marseille,81,64.0,84.0,67.0,76.0,39.0,71.0,30000000.0,27,186
W. Orban,Vilmos Tamás Orban,CB,RB Leipzig,81,49.0,36.0,52.0,55.0,84.0,80.0,24500000.0,28,186
E. Višća,Edin Višća,"RM, RW",İstanbul Başakşehir FK,81,87.0,78.0,78.0,82.0,47.0,64.0,21500000.0,31,172
K. Zouma,Kurt Happy Zouma,CB,West Ham United,81,65.0,51.0,63.0,57.0,81.0,85.0,30000000.0,26,190
Danilo Pereira,Danilo Luís Hélio Pereira,"CDM, CM",Paris Saint-Germain,81,64.0,63.0,71.0,73.0,80.0,86.0,22000000.0,29,188
S. Berghuis,Steven Berghuis,RW,Ajax,81,80.0,81.0,82.0,82.0,36.0,66.0,25500000.0,29,182
Paco Alcácer,Francisco Alcácer García,ST,Villarreal CF,81,77.0,84.0,69.0,81.0,35.0,61.0,28000000.0,27,175
Nacho Fernández,José Ignacio Fernández Iglesias,"CB, RB, LB",Real Madrid CF,81,78.0,37.0,66.0,69.0,81.0,80.0,17500000.0,31,180
Sergi Roberto,Sergio Roberto Carnicer,"RB, CM, RM",FC Barcelona,81,76.0,63.0,80.0,77.0,76.0,73.0,22500000.0,29,178
Lucas Moura,Lucas Rodrigues Moura da Silva,"RM, CF",Tottenham Hotspur,81,90.0,79.0,70.0,86.0,43.0,68.0,26000000.0,28,174
J. Tarkowski,James Tarkowski,CB,Burnley,81,57.0,45.0,67.0,65.0,82.0,81.0,24500000.0,28,188
A. Florenzi,Alessandro Florenzi,"RB, RWB",AC Milan,81,76.0,77.0,79.0,80.0,76.0,62.0,22000000.0,30,173
L. Torreira,Lucas Torreira Di Pascua,"CDM, CM",Fiorentina,80,74.0,67.0,74.0,79.0,79.0,75.0,26500000.0,25,166
M. Akanji,Manuel Obafemi Akanji,CB,Borussia Dortmund,80,81.0,48.0,67.0,74.0,81.0,77.0,25000000.0,25,187
Nélson Semedo,Nélson Cabral Semedo,"RWB, RB",Wolverhampton Wanderers,80,82.0,57.0,68.0,81.0,75.0,75.0,22000000.0,27,177
O. Zinchenko,Oleksandr Zinchenko,"LB, CDM",Manchester City,80,73.0,65.0,80.0,80.0,77.0,69.0,29500000.0,24,175
I. Bennacer,Ismaël Bennacer,"CM, CDM",AC Milan,80,73.0,67.0,80.0,84.0,73.0,73.0,30000000.0,23,175
K. Tierney,Kieran Tierney,"LB, CB, LWB",Arsenal,80,84.0,60.0,75.0,77.0,75.0,79.0,31000000.0,24,178
S. Bergwijn,Steven Charles Bergwijn,"LM, LW, RM",Tottenham Hotspur,80,85.0,78.0,75.0,82.0,39.0,69.0,30000000.0,23,178
Álex Berenguer,Alejandro Berenguer Remiro,"RM, LM",Athletic Club de Bilbao,80,82.0,76.0,76.0,81.0,63.0,65.0,25000000.0,25,175
J. Bamba,Jonathan Bamba,LM,LOSC Lille,80,89.0,75.0,74.0,81.0,39.0,69.0,28000000.0,25,175
Joan Jordán,Joan Jordán Moreno,"CM, CDM",Sevilla FC,80,63.0,75.0,81.0,77.0,67.0,76.0,24500000.0,26,183
Borja Iglesias,Borja Iglesias Quintas,ST,Real Betis Balompié,80,65.0,80.0,64.0,74.0,35.0,80.0,21500000.0,28,187
A. Christensen,Andreas Bødtker Christensen,CB,Chelsea,80,65.0,31.0,65.0,68.0,83.0,72.0,28000000.0,25,187
J. Rodríguez,Jonathan Javier Rodríguez Portillo,"ST, LW",Cruz Azul,80,88.0,80.0,67.0,81.0,38.0,76.0,23000000.0,27,177
Everton,Éverton Sousa Soares,"LM, CAM",SL Benfica,80,86.0,75.0,73.0,85.0,32.0,62.0,28000000.0,25,174
L. Klostermann,Lukas Manuel Klostermann,"CB, RB, RWB",RB Leipzig,80,85.0,51.0,64.0,71.0,82.0,77.0,26500000.0,25,187
V. Lindelöf,Victor Jörgen Nilsson Lindelöf,CB,Manchester United,80,63.0,51.0,73.0,72.0,81.0,78.0,23000000.0,26,187
N. Keïta,Naby Keïta,CM,Liverpool,80,70.0,73.0,75.0,85.0,65.0,66.0,27500000.0,26,172
J. Denayer,Jason Denayer,CB,Olympique Lyonnais,80,83.0,43.0,67.0,71.0,81.0,81.0,24500000.0,26,184
Embarba,Adrián Embarba Blázquez,"RM, LM, ST",RCD Espanyol de Barcelona,80,83.0,77.0,78.0,79.0,55.0,72.0,20500000.0,29,173
C. Tolisso,Corentin Tolisso,"CM, CDM",FC Bayern München,80,66.0,77.0,77.0,78.0,76.0,78.0,24500000.0,26,181
G. Di Lorenzo,Giovanni Di Lorenzo,RB,Napoli,80,84.0,66.0,73.0,76.0,76.0,79.0,20500000.0,27,183
Capa,Ander Capa Rodríguez,RB,Athletic Club de Bilbao,80,82.0,64.0,76.0,77.0,74.0,88.0,18500000.0,29,175
G. Mancini,Gianluca Mancini,"CB, CDM",Roma,80,61.0,45.0,50.0,59.0,80.0,84.0,26500000.0,25,190
D. Zakaria,Denis Lemi Zakaria Lako Lado,"CDM, CB",Borussia Mönchengladbach,80,83.0,64.0,72.0,75.0,80.0,84.0,30500000.0,24,191
V. Coufal,Vladimír Coufal,"RB, RWB",West Ham United,80,77.0,56.0,73.0,75.0,78.0,81.0,19000000.0,28,175
S. Sensi,Stefano Sensi,"CM, CDM",Inter,80,67.0,60.0,83.0,83.0,67.0,59.0,27500000.0,25,168
A. Bastoni,Alessandro Bastoni,CB,Inter,80,65.0,33.0,65.0,69.0,82.0,80.0,44500000.0,22,190
B. Saka,Bukayo Saka,"RM, LM, LB",Arsenal,80,84.0,68.0,76.0,82.0,65.0,64.0,45500000.0,19,178
P. Max,Philipp Martin Max,LB,PSV,80,82.0,67.0,79.0,75.0,73.0,75.0,22000000.0,27,177
V. Tsygankov,Viktor Tsygankov,RM,Dynamo Kyiv,80,85.0,73.0,78.0,80.0,45.0,57.0,33500000.0,23,178
Pedro Porro,Pedro Antonio Porro Sauceda,"RWB, RM",Sporting CP,80,80.0,67.0,73.0,79.0,75.0,75.0,40500000.0,21,176
N. Vlašić,Nikola Vlašić,CAM,West Ham United,80,83.0,77.0,78.0,82.0,48.0,71.0,33500000.0,23,178
L. Díaz,Luis Fernando Díaz Marulanda,LM,FC Porto,80,92.0,77.0,70.0,82.0,32.0,71.0,33500000.0,24,180
Unai Núñez,Unai Núñez Gestoso,CB,Athletic Club de Bilbao,80,72.0,22.0,49.0,50.0,81.0,76.0,27000000.0,24,186
R. Baku,Ridle Bote Baku,"RM, RB, CM",VfL Wolfsburg,80,84.0,73.0,73.0,81.0,70.0,78.0,32000000.0,23,176
M. Gómez,Maximiliano Gómez González,ST,Valencia CF,80,66.0,81.0,68.0,73.0,32.0,82.0,32000000.0,24,186
Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,LW,Real Madrid CF,80,95.0,70.0,71.0,87.0,29.0,66.0,46500000.0,20,176
S. McTominay,Scott McTominay,"CDM, CM",Manchester United,80,66.0,75.0,75.0,75.0,78.0,84.0,27500000.0,24,193
Gerson,Gerson Santos da Silva,CM,Olympique de Marseille,80,74.0,64.0,79.0,80.0,78.0,77.0,30000000.0,24,184
B. Kamara,Boubacar Bernard Kamara,"CDM, CB",Olympique de Marseille,80,74.0,50.0,72.0,73.0,79.0,78.0,31000000.0,21,184
N. Mazraoui,Noussair Mazraoui,RB,Ajax,80,82.0,61.0,74.0,81.0,75.0,71.0,29500000.0,23,183
X. Schlager,Xaver Schlager,"CDM, CM",VfL Wolfsburg,80,69.0,70.0,73.0,77.0,73.0,81.0,27500000.0,23,174
V. Osimhen,Victor James Osimhen,ST,Napoli,80,88.0,80.0,63.0,75.0,39.0,81.0,43000000.0,22,185
Ç. Söyüncü,Çağlar Söyüncü,CB,Leicester City,80,76.0,46.0,60.0,67.0,80.0,80.0,25000000.0,25,185
D. Malen,Donyell Malen,ST,Borussia Dortmund,80,90.0,79.0,72.0,83.0,30.0,74.0,33000000.0,22,179
Renato Sanches,Renato Júnior Luz Sanches,"CM, RM",LOSC Lille,80,84.0,74.0,77.0,84.0,72.0,84.0,33000000.0,23,176
Tony Abranjes,Tony Josimar Abranjes Meneses,CB,Internacional,80,67.0,39.0,55.0,58.0,81.0,85.0,10000000.0,33,179
Laure Santeiro,Laureano Thomas Santeiro Marre,"CAM, LM, LW",Fluminense,80,80.0,72.0,77.0,82.0,26.0,45.0,25000000.0,21,171
Maikel Catarino,Maikel Renan Catarino Fagundes,"RB, RM",Sport Club Corinthians Paulista,80,76.0,51.0,70.0,77.0,77.0,70.0,21000000.0,25,177
João Mário,João Mário Naval da Costa Eduardo,"CM, CAM",SL Benfica,80,69.0,69.0,80.0,83.0,66.0,68.0,21000000.0,28,179
S. Lainer,Stefan Lainer,RB,Borussia Mönchengladbach,80,78.0,63.0,70.0,75.0,74.0,80.0,19000000.0,28,175
D. Alli,Bamidele Alli,"CAM, CM",Tottenham Hotspur,80,68.0,78.0,78.0,82.0,65.0,75.0,26500000.0,25,188
Pablo Sarabia,Pablo Sarabia García,"RW, CAM",Sporting CP,80,72.0,76.0,81.0,82.0,57.0,59.0,20500000.0,29,174
Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,CM,FC Porto,80,58.0,79.0,82.0,77.0,72.0,70.0,20500000.0,29,181
G. Krychowiak,Grzegorz Krychowiak,"CDM, CM",,80,68.0,76.0,72.0,72.0,75.0,81.0,,31,187
N. Lodeiro,Marcelo Nicolás Lodeiro Benítez,CAM,Seattle Sounders FC,80,74.0,73.0,83.0,81.0,49.0,74.0,16500000.0,32,170
E. Pérez,Enzo Nicolás Pérez,"CDM, CM",River Plate,80,68.0,66.0,77.0,77.0,77.0,78.0,6000000.0,35,178
R. Pereyra,Roberto Maximiliano Pereyra,"CM, LM, CF",Udinese Calcio,80,76.0,74.0,79.0,81.0,68.0,73.0,20000000.0,30,182
E. Salvio,Eduardo Antonio Salvio,"RM, RW",Boca Juniors,80,86.0,76.0,73.0,84.0,57.0,68.0,20500000.0,30,173
