선수명,팀,포지션,생년월일,키cm,몸무게kg,경기,타석,타수,득점,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살,도루,도루실패,타율,출루율,장타율,OPS
김웅빈,키움,내야수,1996-02-09,182,97,10,31,24,1,2,0,0,0,0,6,0,7,2,0,0,0.083,0.267,0.083,0.350
허인서,한화,포수,2003-07-11,182,93,20,30,29,2,5,1,0,0,2,0,1,12,1,0,0,0.172,0.200,0.207,0.407
김동엽,키움,,,,,9,29,27,2,6,2,0,0,2,2,0,11,1,0,0,0.222,0.276,0.296,0.572
홍성호,두산,외야수,1997-07-15,187,98,9,27,26,3,9,1,0,2,3,1,0,8,0,0,0,0.346,0.370,0.615,0.985
서건창,KIA,,,,,10,26,22,1,3,1,0,1,2,2,0,5,1,1,0,0.136,0.208,0.318,0.526
김인환,한화,,,,,10,26,25,2,2,0,0,1,3,1,0,9,1,0,0,0.080,0.115,0.200,0.315
고영우,키움,,,,,14,26,23,4,5,1,0,0,2,2,0,6,2,0,0,0.217,0.280,0.261,0.541
권혁빈,키움,내야수,2005-11-04,185,75,22,24,20,1,2,0,0,0,1,2,0,7,1,0,0,0.100,0.182,0.100,0.282
한승택,KIA,,,,,15,23,21,3,5,1,0,0,0,1,1,7,1,0,0,0.238,0.304,0.286,0.590
류현준,두산,포수,2005-03-25,182,92,17,22,22,2,3,0,0,0,1,0,0,6,1,0,0,0.136,0.136,0.136,0.272
정현창,KIA,내야수,2006-07-14,177,70,16,21,19,4,5,0,0,0,0,2,0,5,0,0,1,0.263,0.333,0.263,0.596
김민혁,두산,내야수,1996-05-03,188,100,10,21,17,2,2,0,0,1,1,4,0,6,0,0,0,0.118,0.286,0.294,0.580
여동건,두산,,,,,19,21,19,6,2,0,0,0,2,2,0,2,1,0,1,0.105,0.190,0.105,0.295
박민석,KT,외야수,2006-07-27,178,83,19,21,19,5,5,1,1,0,1,2,0,4,0,0,1,0.263,0.333,0.421,0.754
최성민,KT,외야수,2002-07-05,179,84,32,21,19,3,2,0,0,0,2,1,0,5,0,1,0,0.105,0.150,0.105,0.255
염승원,키움,내야수,2006-03-20,180,78,11,21,19,2,4,0,0,0,1,1,0,6,0,0,0,0.211,0.238,0.211,0.449
변상권,키움,,,,,12,20,19,2,5,2,0,0,4,0,0,2,0,0,0,0.263,0.250,0.368,0.618
한승현,롯데,,,,,19,19,17,1,1,0,0,0,1,1,0,6,0,1,1,0.059,0.105,0.059,0.164
박한결,NC,,,,,8,19,17,2,2,0,0,2,3,2,0,8,0,0,0,0.118,0.211,0.471,0.682
안주형,삼성,,,,,8,18,17,3,4,0,0,1,2,1,0,5,1,0,1,0.235,0.278,0.412,0.690
윤준혁,KT,,,,,28,18,17,4,1,1,0,0,0,0,0,5,0,1,0,0.059,0.059,0.118,0.177
권광민,한화,외야수,1997-12-12,189,102,15,18,18,2,3,1,0,0,0,0,0,5,1,0,0,0.167,0.167,0.222,0.389
주효상,KIA,포수,1997-11-11,183,95,8,17,15,1,5,2,0,0,1,2,0,4,0,0,0,0.333,0.412,0.467,0.879
이창용,삼성,내야수,1999-06-03,184,89,11,17,15,2,3,1,0,1,2,2,0,8,0,1,0,0.200,0.294,0.467,0.761
김주성,LG,외야수,1998-01-30,180,81,16,17,15,3,3,0,0,1,1,1,1,2,0,0,2,0.200,0.294,0.400,0.694
김준상,두산,내야수,2004-08-02,184,75,9,17,15,1,3,1,0,0,0,0,1,8,0,0,0,0.200,0.250,0.267,0.517
양우현,삼성,내야수,2000-04-13,175,82,14,16,16,3,3,1,0,0,4,0,0,2,0,0,0,0.188,0.188,0.250,0.438
손용준,LG,내야수,2000-02-15,178,85,9,16,15,3,3,0,0,0,1,0,1,5,2,1,0,0.200,0.250,0.200,0.450
박재엽,롯데,포수,2006-01-23,184,92,9,16,14,2,4,1,0,1,3,2,0,5,0,0,0,0.286,0.375,0.571,0.946
유로결,한화,외야수,2000-05-30,186,83,20,16,13,1,2,0,0,0,0,0,1,4,0,1,0,0.154,0.214,0.154,0.368
장재영,키움,,,,,10,16,14,1,2,0,0,0,2,2,0,7,0,1,0,0.143,0.250,0.143,0.393
송승환,NC,,,,,13,15,15,0,3,1,0,0,2,0,0,6,0,0,0,0.200,0.200,0.267,0.467
박헌,KIA,외야수,2006-01-05,185,90,8,14,12,0,1,0,0,0,0,1,1,3,0,0,0,0.083,0.214,0.083,0.297
김도환,삼성,포수,2000-04-14,178,90,6,14,14,3,4,1,0,0,1,0,0,4,0,0,0,0.286,0.286,0.357,0.643
김태근,삼성,,,,,11,14,12,2,4,0,0,0,0,2,0,4,0,0,0,0.333,0.429,0.333,0.762
함수호,삼성,외야수,2006-03-10,181,88,6,14,14,1,3,0,0,0,1,0,0,6,0,0,0,0.214,0.214,0.214,0.428
양현종,키움,내야수,2006-08-15,177,84,12,14,12,1,1,0,0,0,0,2,0,5,0,0,0,0.083,0.214,0.083,0.297
김정율,LG,내야수,1998-03-18,184,97,13,13,11,0,2,0,0,0,1,1,0,6,0,1,0,0.182,0.231,0.182,0.413
이율예,SSG,,,,,8,13,13,3,3,0,0,3,7,0,0,6,0,0,0,0.231,0.231,0.923,1.154
신윤후,롯데,외야수,1996-01-05,177,77,12,13,12,1,2,0,0,0,0,0,0,3,0,1,0,0.167,0.167,0.167,0.334
오태양,NC,내야수,2002-04-25,180,78,14,13,12,6,3,0,0,0,1,1,0,3,0,2,1,0.250,0.308,0.250,0.558
강진성,키움,,,,,6,13,11,1,2,0,0,0,1,2,0,1,2,0,0,0.182,0.308,0.182,0.490
전다민,두산,외야수,2001-08-21,177,75,22,12,12,5,1,0,0,0,0,0,0,0,1,3,0,0.083,0.083,0.083,0.166
김수윤,SSG,내야수,1998-07-16,180,83,7,12,11,0,1,0,0,0,0,0,1,4,0,0,0,0.091,0.167,0.091,0.258
이상혁,한화,,,,,39,12,10,14,2,1,0,0,2,0,1,3,0,3,4,0.200,0.273,0.300,0.573
이선우,두산,내야수,2006-04-04,182,80,10,11,11,0,2,1,0,0,0,0,0,2,0,0,0,0.182,0.182,0.273,0.455
고승완,NC,외야수,2001-03-15,178,81,17,11,10,5,2,0,0,0,0,1,0,5,0,2,1,0.200,0.273,0.200,0.473
김정호,NC,포수,1998-07-13,172,84,8,11,9,3,4,0,0,0,0,0,1,4,0,0,0,0.444,0.500,0.444,0.944
최상민,SSG,,,,,23,9,7,5,1,0,0,0,1,1,1,5,0,1,1,0.143,0.333,0.143,0.476
조세진,롯데,외야수,2003-11-21,181,86,12,9,7,1,1,0,0,0,0,2,0,4,0,0,0,0.143,0.333,0.143,0.476
서유신,키움,,,,,6,8,7,0,0,0,0,0,0,1,0,4,0,0,0,0.000,0.125,0.000,0.125
이원석,키움,,,,,5,8,7,1,1,0,0,0,0,1,0,2,1,0,0,0.143,0.250,0.143,0.393
박성재,두산,내야수,2002-11-18,186,98,6,7,7,0,0,0,0,0,0,0,0,5,0,0,0,0.000,0.000,0.000,0.000
최항,롯데,내야수,1994-01-03,183,88,8,7,6,1,1,0,0,0,1,1,0,4,0,0,0,0.167,0.286,0.167,0.453
안인산,NC,,,,,4,7,6,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.000,0.000,0.000
최정용,KIA,내야수,1996-10-24,179,84,4,6,6,0,1,0,0,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334
김현종,LG,외야수,2004-08-04,186,85,10,6,5,3,2,1,0,0,0,1,0,1,1,0,0,0.400,0.500,0.600,1.100
최승민,LG,,,,,19,6,5,6,0,0,0,0,0,1,0,2,0,1,2,0.000,0.167,0.000,0.167
김병휘,키움,내야수,2001-02-16,177,79,7,6,4,2,1,0,0,0,0,2,0,1,0,0,0,0.250,0.500,0.250,0.750
이해승,삼성,내야수,2000-08-01,180,86,8,5,5,2,1,0,0,0,1,0,0,2,0,0,0,0.200,0.200,0.200,0.400
김성우,LG,,,,,7,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0.200,0.200,0.200,0.400
김병준,KT,,,,,9,5,5,2,1,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400
이승민,SSG,외야수,2005-01-06,187,90,2,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400
임근우,SSG,외야수,1999-07-22,180,88,3,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
홍대인,SSG,내야수,2001-11-23,174,76,14,5,5,3,1,0,0,0,0,0,0,2,0,1,1,0.200,0.200,0.200,0.400
박영빈,NC,외야수,1997-07-16,182,88,16,5,4,8,1,0,0,0,1,1,0,2,0,4,2,0.250,0.400,0.250,0.650
김재혁,삼성,외야수,1999-12-26,182,85,8,4,3,2,0,0,0,0,0,1,0,2,0,0,0,0.000,0.250,0.000,0.250
김태윤,SSG,내야수,2003-02-28,170,65,8,4,2,0,1,0,0,0,0,2,0,0,0,1,1,0.500,0.750,0.500,1.250
이민재,한화,,,,,3,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000
천현재,두산,외야수,1999-07-05,183,90,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000
이정범,SSG,,,,,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000
박건우,롯데,포수,2003-02-01,183,92,6,3,3,1,2,0,0,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.334
김준태,LG,포수,1994-07-31,175,91,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000
유영찬,LG,투수,1997-03-07,185,90,11,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500
강현구,두산,,,,,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
박민준,두산,포수,2002-10-21,183,95,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
장승현,두산,,,,,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000
정현승,SSG,,,,,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500
박정현,한화,내야수,2001-07-27,183,80,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
장규현,한화,포수,2002-06-28,183,96,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000
이승원,키움,,,,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
이재상,키움,,,,,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000
김기훈,KIA,투수,2000-01-03,184,93,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
박진우,삼성,포수,2003-10-14,176,87,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
차승준,삼성,내야수,2006-11-20,181,88,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
김성재,두산,포수,2006-05-16,182,98,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
김건형,KT,,,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
강승구,롯데,포수,2003-10-19,180,83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
이태경,롯데,,,,,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
이승현,한화,포수,2005-06-08,180,92,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000
김범준,NC,외야수,2000-04-20,183,90,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000
김대유,KIA,투수,1991-05-08,187,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김시훈,KIA,투수,1999-02-24,188,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김현수,KIA,투수,2000-07-10,185,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이성원,KIA,투수,2006-05-18,184,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이준영,KIA,투수,1992-08-10,177,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
전상현,KIA,투수,1996-04-18,180,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
정해영,KIA,투수,2001-08-23,189,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
조상우,KIA,투수,1994-09-04,186,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
한재승,KIA,투수,2001-11-21,180,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
황동하,KIA,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김대호,삼성,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김재윤,삼성,투수,1990-09-16,185,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김호진,삼성,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
배찬승,삼성,투수,2006-01-01,180,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
양창섭,삼성,투수,1999-09-22,182,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
육선엽,삼성,투수,2005-07-13,190,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이승현,삼성,투수,1991-11-20,181,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이재희,삼성,투수,2001-10-11,187,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이호성,삼성,투수,2004-08-14,184,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김영우,LG,투수,2005-01-14,185,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김진성,LG,투수,1985-03-07,186,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김진수,LG,투수,1998-08-31,179,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박명근,LG,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
백승현,LG,투수,1995-05-26,183,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
우강훈,LG,투수,2002-10-03,183,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이우찬,LG,투수,1992-08-04,185,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이정용,LG,투수,1996-03-26,186,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이지강,LG,투수,1999-07-02,183,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
장현식,LG,투수,1995-02-24,181,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
함덕주,LG,투수,1995-01-13,181,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
고효준,두산,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김재호,두산,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김정우,두산,투수,1999-05-15,183,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김택연,두산,투수,2005-06-03,181,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김한중,두산,투수,2004-11-03,183,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김호준,두산,투수,1998-05-17,180,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박신지,두산,투수,1999-07-16,185,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박치국,두산,투수,1998-03-10,177,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
양재훈,두산,투수,2003-05-01,186,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이영하,두산,투수,1997-11-01,192,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
최원준,두산,투수,1994-12-21,182,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
홍민규,두산,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김민석,KT,포수,2005-07-22,181,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김민수,KT,투수,1992-07-24,188,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박건우,KT,투수,2006-11-28,182,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박경수,KT,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박영현,KT,투수,2003-10-11,183,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
손동현,KT,투수,2001-01-23,183,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
송민섭,KT,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
오서진,KT,내야수,2006-02-22,188,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
우규민,KT,투수,1985-01-21,184,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이상동,KT,투수,1995-11-24,181,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이정현,KT,투수,1997-12-05,188,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
주권,KT,투수,1995-05-31,181,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
최동환,KT,투수,1989-09-19,184,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김강민,SSG,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김건우,SSG,투수,2002-07-12,186,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김창평,SSG,외야수,2000-06-14,185,85,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김택형,SSG,투수,1996-10-10,185,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
노경은,SSG,투수,1984-03-11,187,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이로운,SSG,투수,2004-09-11,185,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
전영준,SSG,투수,2002-04-16,190,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
조병현,SSG,투수,2002-05-08,182,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
최민준,SSG,투수,1999-06-11,178,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
최현석,SSG,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
한두솔,SSG,투수,1997-01-15,177,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
강성우,롯데,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-
구승민,롯데,투수,1990-06-12,182,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김강현,롯데,투수,1995-02-27,177,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김태혁,롯데,투수,1988-01-02,180,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김원중,롯데,투수,1993-06-14,192,96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박준우,롯데,투수,2005-05-27,190,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박진,롯데,투수,1999-04-02,182,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
윤성빈,롯데,투수,1999-02-26,197,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이인한,롯데,외야수,1998-12-24,183,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
정철원,롯데,투수,1999-03-27,192,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
정현수,롯데,투수,2001-05-10,180,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김서현,한화,투수,2004-05-31,188,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김승일,한화,투수,2001-07-07,183,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김종수,한화,투수,1994-06-03,180,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박상원,한화,투수,1994-09-09,187,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
윤산흠,한화,투수,1999-05-15,178,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
정우주,한화,투수,2006-11-07,184,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
조동욱,한화,투수,2004-11-02,190,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
한승혁,한화,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김영규,NC,투수,2000-02-10,188,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
김태훈,NC,투수,2006-10-26,188,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
류진욱,NC,투수,1996-10-10,189,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
배재환,NC,투수,1995-02-24,186,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
소이현,NC,투수,1999-02-09,185,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
손주환,NC,투수,2002-01-05,177,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
전사민,NC,투수,1999-07-06,194,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박윤성,키움,투수,2004-02-08,183,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박정훈,키움,투수,2006-03-23,192,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
박주성,키움,투수,2000-11-09,181,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
알칸타라,키움,투수,1992-12-04,193,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
이준우,키움,투수,2001-03-02,183,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
주승우,키움,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
