선수명,팀,생년월일,키cm,몸무게kg,ERA,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,WHIP
이채호,KT,1998-11-23,185,85,6.17,10,0,0,0,0,-,11 2/3,12,1,5,2,8,8,8,1.46
조이현,KT,1995-06-27,185,95,5.40,3,1,2,0,0,0.333,11 2/3,17,2,0,1,3,7,7,1.46
김강률,LG,1988-08-28,187,95,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22
박준우,롯데,2005-05-27,190,94,8.03,11,1,2,0,1,0.333,12 1/3,21,0,6,1,11,11,11,2.19
이도현,KIA,2005-01-07,188,90,6.92,6,1,1,0,0,0.500,13,17,1,8,1,9,11,10,1.92
임창민,삼성,,,,4.85,16,1,0,0,2,1.000,13,17,5,7,1,6,8,7,1.85
배재준,LG,1994-11-24,188,85,5.54,14,0,0,0,1,-,13,9,1,7,1,14,8,8,1.23
이병헌,두산,2003-06-04,183,95,6.23,22,0,0,0,4,-,13,11,1,10,0,9,9,9,1.62
조민석,NC,1998-12-21,180,81,6.92,6,0,1,0,0,0.000,13,12,3,11,2,4,10,10,1.77
전용주,KT,2000-02-12,188,87,3.95,21,0,1,0,4,0.000,13 2/3,18,0,7,0,11,8,6,1.83
양지율,키움,,,,8.36,18,0,2,0,1,0.000,14,18,3,7,3,10,13,13,1.79
구창모,NC,1997-02-17,183,85,2.51,4,1,0,0,0,1.000,14 1/3,14,1,3,0,18,4,4,1.19
신영우,NC,2004-04-21,182,84,7.53,8,1,3,0,0,0.250,14 1/3,8,2,16,3,19,13,12,1.67
최우석,NC,2005-03-31,190,90,8.16,12,0,0,0,0,-,14 1/3,23,1,9,0,15,16,13,2.23
이호민,KIA,,,,8.59,13,1,0,0,0,1.000,14 2/3,21,0,9,2,7,14,14,2.05
김기중,한화,2002-11-16,186,96,3.07,5,0,1,0,0,0.000,14 2/3,16,0,6,1,8,5,5,1.50
이용찬,NC,,,,10.57,12,1,2,0,1,0.333,15 1/3,23,1,12,4,14,18,18,2.28
최준호,두산,2004-06-03,188,90,8.44,9,1,2,0,0,0.333,16,18,4,9,2,11,15,15,1.69
홍건희,두산,,,,6.19,20,2,1,0,0,0.667,16,18,2,15,0,15,13,11,2.06
제환유,두산,2000-09-30,183,76,4.96,6,0,1,0,0,0.000,16 1/3,17,2,12,1,8,10,9,1.78
윤산흠,한화,1999-05-15,178,74,3.78,12,0,0,0,0,-,16 2/3,16,1,5,3,17,7,7,1.26
김유성,두산,2002-01-01,190,98,8.83,7,0,2,0,0,0.000,17 1/3,17,3,14,4,22,17,17,1.79
윤태호,두산,2003-10-10,190,88,6.75,10,0,1,0,1,0.000,17 1/3,16,2,5,0,16,14,13,1.21
정동윤,SSG,1997-10-22,193,103,8.31,12,0,0,0,0,-,17 1/3,21,2,12,0,17,16,16,1.90
최현석,SSG,,,,6.23,13,0,0,0,0,-,17 1/3,21,5,6,2,11,13,12,1.56
김현수,KIA,2000-07-10,185,90,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64
최동환,KT,1989-09-19,184,83,8.68,20,1,1,0,0,0.500,18 2/3,27,4,12,1,9,19,18,2.09
임정호,NC,1990-04-16,188,90,4.82,31,1,1,0,4,0.500,18 2/3,18,3,9,4,15,13,10,1.45
이우찬,LG,1992-08-04,185,97,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42
박종훈,SSG,1991-08-13,186,90,7.11,5,0,2,0,0,0.000,19,15,4,18,5,10,17,15,1.74
김태훈,NC,2006-10-26,188,88,5.21,18,0,0,0,0,-,19,17,4,16,1,9,15,11,1.74
웰스,키움,,,,3.15,4,1,1,0,0,0.500,20,18,0,6,1,16,8,7,1.20
전준표,키움,2005-05-07,186,90,8.85,21,2,2,0,1,0.500,20 1/3,33,2,19,3,15,22,20,2.56
황동재,삼성,,,,6.97,15,0,1,0,0,0.000,20 2/3,27,1,14,2,22,16,16,1.98
김대호,삼성,,,,5.14,11,0,1,0,0,0.000,21,25,3,15,1,19,13,12,1.90
고효준,두산,,,,6.86,45,2,1,0,9,0.667,21,29,4,14,1,19,16,16,2.05
김정우,두산,1999-05-15,183,87,3.86,18,0,0,1,1,-,21,26,1,9,3,13,12,9,1.67
